Date,Daily_Rainfall_mm,Mean_Daily_Temperature_Celsius,Mean_Daily_Relative_Humidity_Percent,Mean_Daily_Surface_Pressure_hPa,Mean_Daily_Wind_Speed_kmh,Mean_Daily_Wind_Direction_Degree,Mean_Daily_Radiation_Wh_m2,Prakasam_Barrage_Level_ft,Prakasam_Barrage_Inflow_cusecs,Prakasam_Barrage_Outflow_cusecs,Prakasam_Barrage_Current_Storage,Prakasam_Barrage_Flood_Cushion,Flood_Event
2/20/2020,0,26.10,68.00,1011.55,9.90,125.71,244.92,56.4,4326,2836,2.92,0.15,0
2/21/2020,0,25.85,64.83,1013.29,9.89,112.50,234.13,56.43,4263,2836,2.92,0.15,0
2/22/2020,0,25.90,66.42,1013.95,8.98,107.29,249.21,56.46,4350,2836,2.93,0.14,0
2/23/2020,0,26.25,69.46,1012.73,8.90,123.88,245.04,56.76,4350,2836,3,0.07,0
2/24/2020,0,26.77,70.58,1009.98,9.37,136.46,234.04,56.96,5699,3036,3.05,0.02,0
2/25/2020,0.1,26.88,70.58,1008.54,11.09,160.17,155.29,57.05,5457,3036,3.07,0,0
2/26/2020,0.4,26.96,73.33,1009.22,5.64,124.79,199.04,57.05,5581,3362,3.07,0,0
2/27/2020,0.5,27.12,71.88,1009.70,6.77,105.00,218.63,57.05,5934,3804,3.07,0,0
2/28/2020,0.2,26.50,71.71,1009.25,9.44,105.08,210.29,57.05,5934,3804,3.07,0,0
2/29/2020,0,27.00,65.38,1008.62,8.80,121.25,226.71,57.05,5547,3804,3.07,0,0
3/1/2020,0,27.05,65.46,1008.82,7.99,128.79,229.42,57.05,5238,4005,3.07,0,0
3/2/2020,0,26.86,68.00,1009.07,5.98,133.71,179.17,57.05,5390,4005,3.07,0,0
3/3/2020,0,27.73,66.50,1008.11,7.86,149.63,248.42,57.05,5334,4902,3.07,0,0
3/4/2020,0,28.17,64.79,1007.40,8.91,163.46,210.83,57.05,5331,3696,3.07,0,0
3/5/2020,0.4,27.64,68.96,1006.89,11.49,149.63,175.29,57.05,5336,3694,3.07,0,0
3/6/2020,1.7,27.78,68.58,1007.75,13.71,151.54,180.50,57.05,5336,3694,3.07,0,0
3/7/2020,4.1,27.24,75.17,1009.50,10.21,158.33,178.88,57.05,5600,3494,3.07,0,0
3/8/2020,0.4,27.54,72.38,1009.10,8.51,150.00,190.67,57.05,5600,4196,3.07,0,0
3/9/2020,0,28.00,67.96,1007.76,8.91,141.63,234.54,57.05,5408,4196,3.07,0,0
3/10/2020,0,27.88,66.38,1007.94,10.44,160.63,252.00,57.05,3408,3796,3.07,0,0
3/11/2020,0,27.80,66.25,1008.39,11.88,157.29,241.75,57.05,2877,2371,3.07,0,0
3/12/2020,0,28.33,66.92,1009.47,10.45,155.25,238.58,57.05,2743,2371,3.07,0,0
3/13/2020,0,28.45,68.46,1009.58,10.79,140.33,250.29,57.05,2494,2371,3.07,0,0
3/14/2020,0,28.39,66.79,1008.65,10.95,136.38,269.54,56.99,2494,2371,3.06,0.01,0
3/15/2020,0,27.95,68.63,1008.81,10.13,117.00,254.88,56.66,2434,2333,2.98,0.09,0
3/16/2020,0,28.78,66.46,1009.78,8.37,121.92,243.71,56.5,2434,2333,2.94,0.13,0
3/17/2020,0,28.81,66.71,1010.74,9.08,137.63,245.71,56.59,4814,2423,2.96,0.11,0
3/18/2020,0,29.39,63.42,1009.64,8.22,160.71,259.04,57.03,4554,2731,3.03,0.04,0
3/19/2020,0.1,30.02,62.96,1008.13,6.96,186.50,238.75,57.05,4616,2925,3.07,0,0
3/20/2020,0.2,29.41,63.54,1008.24,10.39,151.38,208.25,57.05,4616,2925,3.07,0,0
3/21/2020,0,29.53,64.83,1007.84,12.33,156.83,234.71,57.05,4565,2826,3.07,0,0
3/22/2020,0.2,29.32,65.63,1008.28,10.04,150.04,216.38,57.05,4565,2826,3.07,0,0
3/23/2020,0.1,29.13,64.29,1008.19,10.61,156.42,242.46,57.05,4565,2826,3.07,0,0
3/24/2020,0.1,29.23,64.46,1006.91,8.74,143.00,249.04,57.05,2403,1200,3.07,0,0
3/25/2020,0,29.52,64.04,1006.74,8.68,161.46,253.42,57.05,2403,1200,3.07,0,0
3/26/2020,0,30.01,62.58,1007.29,7.12,151.83,272.13,57.05,2800,2800,3.07,0,0
3/27/2020,0,30.29,60.33,1008.74,9.27,172.63,274.21,57.05,2800,2800,3.07,0,0
3/28/2020,0,30.34,59.83,1007.45,8.58,191.75,277.29,57.05,2800,2800,3.07,0,0
3/29/2020,0,31.10,56.50,1006.34,8.24,175.83,262.13,57.05,2800,2800,3.07,0,0
3/30/2020,0,30.72,61.83,1007.24,9.32,154.04,267.92,57.05,2800,2800,3.07,0,0
3/31/2020,0,31.08,57.92,1007.73,7.14,189.92,264.75,57.05,2800,2800,3.07,0,0
4/1/2020,0,31.62,57.04,1006.75,7.67,203.21,262.92,57.05,2800,2800,3.07,0,0
4/2/2020,0,31.37,62.13,1005.92,10.37,174.75,248.42,56.96,0,3001,3.05,0.02,0
4/3/2020,0,30.85,64.04,1006.90,11.03,173.08,262.25,56.46,0,3001,2.93,0.14,0
4/4/2020,0,30.45,63.75,1007.95,9.69,159.50,269.58,56.59,0,3001,2.96,0.11,0
4/5/2020,0,30.08,64.88,1008.52,8.50,158.67,157.63,56.76,0,3001,3,0.07,0
4/6/2020,0,31.75,62.08,1007.92,9.29,166.58,256.04,56.66,0,3335,2.98,0.09,0
4/7/2020,0,31.44,64.54,1006.61,11.05,174.96,228.33,56.63,0,3335,2.97,0.1,0
4/8/2020,0.3,31.06,67.00,1006.89,7.51,161.54,236.25,56.73,9,3744,2.99,0.08,0
4/9/2020,3.2,29.61,73.33,1007.73,8.71,166.67,202.21,56.76,0,3744,3,0.07,0
4/10/2020,0,30.26,66.50,1008.26,9.13,168.29,269.63,56.73,0,3744,2.99,0.08,0
4/11/2020,0,30.66,63.17,1009.33,7.33,155.54,266.79,56.63,3937,3937,2.97,0.1,0
4/12/2020,0,30.99,61.29,1008.13,8.40,177.13,260.54,56.63,3937,3937,2.97,0.1,0
4/13/2020,0,31.19,60.67,1006.42,9.20,183.21,263.83,56.92,3323,3323,3.04,0.03,0
4/14/2020,0.1,31.08,63.54,1007.00,8.81,174.13,267.79,57.05,0,3744,3.07,0,0
4/15/2020,0,31.07,60.50,1007.92,10.00,176.00,274.63,56.99,0,3744,3.06,0,0
4/16/2020,0,31.12,60.46,1006.50,11.15,178.83,265.63,57.05,0,3994,3.07,0,0
4/17/2020,0,31.57,61.25,1005.89,12.14,176.46,277.67,57.05,0,3994,3.07,0,0
4/18/2020,0,31.64,60.17,1006.30,12.70,174.54,282.38,56.99,0,0,3.06,0.01,0
4/19/2020,0,31.18,63.17,1006.63,10.58,170.29,262.88,56.89,0,3896,3.03,0.04,0
4/20/2020,0,31.12,65.50,1006.31,10.64,184.50,254.54,56.76,3991,3973,3,0.07,0
4/21/2020,0,31.06,62.63,1006.08,11.40,177.38,283.71,56.66,3991,3973,2.98,0.09,0
4/22/2020,0,31.33,64.33,1005.74,13.04,161.63,268.75,56.56,3768,3508,2.95,0.12,0
4/23/2020,0,31.85,64.67,1005.12,12.31,167.54,255.79,56.3,3768,3508,2.89,0.18,0
4/24/2020,0,32.16,63.17,1004.55,14.24,176.17,257.54,55.97,3768,3508,2.82,0.25,0
4/25/2020,1.8,32.08,67.00,1004.35,12.30,159.96,225.42,55.94,2258,2894,2.81,0.26,0
4/26/2020,1,31.36,69.46,1005.50,14.16,166.63,198.29,55.61,0,2518,2.71,0.36,0
4/27/2020,6.4,29.98,74.63,1006.99,12.72,148.58,214.50,55.61,0,2518,2.71,0.36,0
4/28/2020,1.7,30.34,71.63,1006.64,9.91,154.50,222.08,55.84,2138,1517,2.78,0.29,0
4/29/2020,0.2,31.10,66.54,1005.88,7.48,173.67,244.00,56.1,2138,1517,2.85,0.22,0
4/30/2020,0.2,31.13,66.13,1006.11,9.12,168.08,260.92,56.46,2198,1200,2.93,0.14,0
5/1/2020,0.5,31.86,65.46,1005.43,8.89,181.13,246.75,56.73,0,0,2.99,0.08,0
5/2/2020,0.1,32.12,66.54,1004.25,10.00,176.79,250.92,57.05,0,0,3.07,0,0
5/3/2020,0.8,32.30,66.38,1003.86,11.25,180.29,256.54,57.05,0,0,3.07,0,0
5/4/2020,0,32.51,64.42,1005.01,11.47,176.71,238.92,57.05,0,0,3.07,0,0
5/5/2020,0,32.36,64.17,1004.75,12.18,173.17,259.71,57.05,0,0,3.07,0,0
5/6/2020,0,32.48,65.46,1004.67,11.70,164.08,248.17,57.05,0,0,3.07,0,0
5/7/2020,0.1,32.56,63.50,1005.07,9.14,160.29,249.96,57.05,0,0,3.07,0,0
5/8/2020,0.1,32.82,59.54,1005.01,10.81,175.58,264.96,56.99,0,0,3.06,0.01,0
5/9/2020,0,33.01,61.04,1004.89,10.13,174.29,277.33,56.92,0,0,3.04,0.03,0
5/10/2020,0,33.00,58.33,1004.87,8.87,169.42,268.75,56.79,0,0,3.01,0.06,0
5/11/2020,0,32.00,63.38,1005.70,7.82,149.50,252.50,56.73,0,0,2.99,0.08,0
5/12/2020,0,32.26,60.67,1005.05,9.79,146.25,288.50,56.63,0,0,2.97,0.1,0
5/13/2020,0,32.31,61.58,1004.25,9.00,145.13,277.79,56.56,0,0,2.95,0.12,0
5/14/2020,0,32.26,61.42,1003.64,9.94,132.17,273.29,56.46,0,0,2.93,0.14,0
5/15/2020,0,32.83,60.38,1002.34,7.00,121.67,275.79,56.43,0,0,2.92,0.15,0
5/16/2020,0.6,32.88,62.54,1001.73,7.67,94.08,233.33,56.4,0,0,2.92,0.15,0
5/17/2020,0,33.66,57.67,1000.11,6.23,163.13,240.38,56.33,0,0,2.9,0.17,0
5/18/2020,0.1,33.54,52.54,997.20,7.32,230.58,222.79,56.33,0,0,2.9,0.17,0
5/19/2020,0,35.76,40.13,994.79,12.63,316.96,218.29,56.27,0,0,2.88,0.19,0
5/20/2020,0,34.98,34.25,995.54,10.82,269.83,245.21,56.27,0,0,2.88,0.19,0
5/21/2020,0,35.32,39.38,997.62,13.49,260.75,303.04,56.17,0,0,2.87,0.2,0
5/22/2020,0,34.33,51.21,999.73,9.09,214.79,302.96,56.17,0,0,2.87,0.2,0
5/23/2020,0,33.64,65.04,1001.30,9.86,139.88,267.42,56.1,0,0,2.85,0.22,0
5/24/2020,0,33.46,63.67,1002.64,11.78,168.88,257.21,56.07,0,0,2.85,0.22,0
5/25/2020,0.1,32.93,64.29,1003.89,11.74,170.04,238.67,55.97,0,0,2.82,0.25,0
5/26/2020,0,32.50,65.96,1003.72,11.83,170.83,211.71,55.91,0,0,2.8,0.27,0
5/27/2020,0,33.28,63.92,1002.68,12.28,178.00,232.17,55.84,0,0,2.78,0.29,0
5/28/2020,0,34.20,64.00,1000.75,12.88,167.33,255.13,55.77,0,0,2.76,0.31,0
5/29/2020,0,34.12,64.04,1001.09,11.65,141.00,264.29,55.68,0,0,2.73,0.34,0
5/30/2020,0.3,33.66,63.92,1002.94,9.31,176.50,248.63,55.74,0,0,2.75,0.32,0
5/31/2020,6,32.68,66.92,1004.25,12.03,171.71,214.79,55.64,0,0,2.72,0.35,0
6/1/2020,0.5,32.30,66.25,1004.86,8.93,157.71,203.46,55.61,0,0,2.71,0.36,0
6/2/2020,3.7,31.53,69.13,1003.84,7.03,195.79,215.63,55.61,0,0,2.71,0.36,0
6/3/2020,7.8,30.98,71.75,1002.80,7.03,164.33,234.00,55.61,0,0,2.71,0.36,0
6/4/2020,0.4,32.40,62.71,1002.28,11.35,194.54,218.33,55.58,0,0,2.7,0.37,0
6/5/2020,0,32.93,59.42,1001.98,11.37,236.29,239.21,55.51,0,0,2.68,0.39,0
6/6/2020,0,33.65,54.25,1000.98,10.80,251.92,262.04,55.51,0,0,2.68,0.39,0
6/7/2020,0,34.25,49.50,999.99,12.10,255.42,262.33,55.51,0,0,2.68,0.39,0
6/8/2020,0,33.76,49.54,999.95,11.15,264.13,176.67,55.51,0,0,2.68,0.39,0
6/9/2020,2.1,32.66,55.21,999.71,8.88,232.29,153.79,55.45,0,0,2.66,0.41,0
6/10/2020,21.2,29.65,77.46,999.18,10.18,260.00,161.79,55.54,0,0,2.69,0.38,0
6/11/2020,22.1,26.65,91.75,997.60,12.00,261.88,65.50,55.54,0,0,2.69,0.38,0
6/12/2020,13.2,27.39,83.79,997.09,13.24,256.17,112.92,55.77,0,0,2.76,0.31,0
6/13/2020,0.2,29.81,69.21,997.99,11.33,240.13,225.29,56.04,0,0,2.84,0.23,0
6/14/2020,2.2,30.70,72.13,999.10,10.28,232.83,250.92,56.1,0,0,2.85,0.22,0
6/15/2020,1.1,30.54,71.79,998.85,11.68,237.04,201.29,56.14,1417,0,2.86,0.21,0
6/16/2020,5.2,29.89,73.04,998.83,10.36,234.13,146.21,56.27,1417,0,2.88,0.19,0
6/17/2020,2.4,29.62,77.00,999.54,8.91,224.79,184.92,56.53,1043,0,2.95,0.12,0
6/18/2020,5.8,28.74,77.50,1001.34,7.25,240.71,98.00,56.69,1043,0,2.99,0.08,0
6/19/2020,0,30.72,66.54,1000.97,11.95,277.71,223.83,56.73,1039,0,2.99,0.08,0
6/20/2020,0.5,31.35,65.46,1000.58,14.17,290.83,226.50,56.53,966,1000,2.95,0.12,0
6/21/2020,7.2,28.46,78.50,1000.12,13.51,272.04,85.38,56.53,966,1000,2.95,0.12,0
6/22/2020,0.1,29.43,70.46,998.82,12.81,271.29,181.17,56.63,1427,2021,2.97,0.1,0
6/23/2020,0.2,30.12,70.04,1000.98,9.10,237.08,253.17,57.05,4425,2021,3.07,0,0
6/24/2020,5.8,29.95,76.83,1001.96,6.97,165.92,218.38,57.05,4996,3509,3.07,0,0
6/25/2020,8.2,29.41,79.58,1001.74,8.45,141.08,224.88,57.05,4779,3532,3.07,0,0
6/26/2020,1,29.73,75.71,1001.34,7.66,155.04,225.42,57.05,4480,4239,3.07,0,0
6/27/2020,0.9,30.16,75.83,1001.07,8.08,170.42,227.58,57.02,4480,4239,3.06,0.01,0
6/28/2020,8,29.68,81.92,1000.89,4.25,196.75,194.21,57.02,4239,3600,3.06,0.01,0
6/29/2020,14.2,29.40,80.50,1000.38,5.46,180.17,204.33,57.05,4239,3600,3.07,0,0
6/30/2020,5.3,28.98,82.50,1000.29,5.83,189.58,181.46,56.96,4239,3600,3.05,0.02,0
7/1/2020,12.7,29.01,82.21,1000.28,6.34,219.67,197.42,57.05,4239,3600,3.07,0,0
7/2/2020,8.4,29.25,80.38,999.06,8.48,234.58,181.46,57.05,5616,3983,3.07,0,0
7/3/2020,5.6,29.71,75.42,998.10,9.88,241.79,196.50,57.05,5616,4948,3.07,0,0
7/4/2020,10.4,27.06,88.00,998.68,10.93,249.71,91.58,57.05,6425,5584,3.07,0,0
7/5/2020,7.4,27.09,85.17,998.78,12.17,236.92,93.42,57.05,6184,5584,3.07,0,0
7/6/2020,2,27.79,86.08,999.31,9.75,253.50,141.54,56.89,9870,8149,3.03,0.04,0
7/7/2020,0.7,29.76,74.08,1001.00,7.73,208.00,256.38,57.05,11303,8660,3.07,0,0
7/8/2020,13.8,29.66,78.17,1002.21,6.95,209.75,236.83,57.05,9936,9643,3.07,0,0
7/9/2020,10.1,27.65,86.33,1001.69,8.71,250.92,148.75,57.05,6584,6789,3.07,0,0
7/10/2020,7.3,28.20,81.71,1001.78,10.13,248.04,208.83,57.05,5847,6792,3.07,0,0
7/11/2020,1.5,28.82,78.21,1001.45,8.96,241.58,228.50,57.05,16316,10811,3.07,0,0
7/12/2020,1.4,29.30,81.50,1001.03,7.76,218.21,203.96,56.92,12809,11267,3.04,0.03,0
7/13/2020,6.9,28.60,84.58,1000.33,4.77,229.17,193.25,57.05,9339,6760,3.07,0,0
7/14/2020,16.7,27.63,87.92,1000.29,6.53,217.88,135.13,57.05,13874,14108,3.07,0,0
7/15/2020,43.1,26.21,93.54,999.13,9.47,219.13,50.67,57.05,19059,126200,3.07,0,0
7/16/2020,20.5,26.53,88.46,998.76,10.40,213.42,88.38,56.92,27244,19836,3.07,0,0
7/17/2020,1,28.63,80.08,999.56,9.27,208.92,212.92,57.05,17409,11143,3.07,0,0
7/18/2020,5.4,28.56,84.42,1001.33,6.16,189.71,200.67,57.05,9347,7353,3.07,0,0
7/19/2020,15.2,28.68,85.04,1002.00,6.69,179.75,199.63,57.05,5509,6739,3.07,0,0
7/20/2020,9.9,28.64,84.58,1001.45,9.38,185.08,213.63,56.92,8219,6739,3.04,0.03,0
7/21/2020,3.4,28.86,83.13,1002.75,9.85,176.92,231.71,56.3,5938,6739,2.89,0.18,0
7/22/2020,0.6,29.15,81.63,1003.03,8.48,174.50,217.54,56.2,4902,6739,2.87,0.2,0
7/23/2020,8.9,27.50,89.46,1002.85,4.88,203.33,79.58,56.23,4239,6739,2.88,0.19,0
7/24/2020,3.4,28.21,86.42,1003.06,4.29,149.83,191.04,56.43,7869,7641,2.92,0.15,0
7/25/2020,7.9,27.95,86.58,1004.17,3.68,173.63,167.21,57.05,7869,7641,3.07,0,0
7/26/2020,1,29.15,79.25,1004.49,4.70,237.58,256.75,57.05,11312,10166,3.07,0,0
7/27/2020,0,30.03,71.58,1002.85,9.43,274.13,269.79,56.63,11312,9289,2.97,0.1,0
7/28/2020,22.6,29.23,80.38,1001.18,7.63,241.88,235.71,55.91,2459,5720,2.8,0.27,0
7/29/2020,17.2,27.98,87.92,1000.66,4.43,130.75,212.42,55.71,6800,5720,2.74,0.33,0
7/30/2020,3.4,28.55,84.04,1001.14,4.57,134.33,218.42,56.14,6800,5720,2.86,0.21,0
7/31/2020,5.1,28.75,82.33,1001.01,4.98,168.42,211.25,56.79,14690,8930,3.01,0.06,0
8/1/2020,4,28.66,85.17,1000.62,5.58,227.29,211.33,57.05,15219,10830,3.07,0,0
8/2/2020,3.9,29.50,79.96,999.51,7.98,236.46,243.79,57.05,15219,10830,3.07,0,0
8/3/2020,0.6,29.40,72.67,997.50,14.60,260.63,221.33,57.05,10773,10531,3.07,0,0
8/4/2020,27.5,26.68,87.46,996.01,13.89,248.50,58.25,57.05,12980,11350,3.07,0,0
8/5/2020,13.3,26.72,84.67,994.23,16.06,234.38,90.71,57.05,20172,14249,3.07,0,0
8/6/2020,1.3,28.70,77.88,996.70,13.95,209.92,235.08,57.05,13506,11039,3.07,0,0
8/7/2020,0.9,29.84,76.54,1000.16,10.75,238.96,265.50,56.92,10718,10639,3.04,0.03,0
8/8/2020,0.2,30.27,69.21,1000.25,12.83,279.00,245.75,56.23,11653,10262,2.88,0.19,0
8/9/2020,3.9,29.33,74.25,999.12,11.99,272.75,199.79,56.27,11563,11249,2.88,0.19,0
8/10/2020,15.5,27.20,86.50,1000.38,10.86,255.96,91.79,56.46,13969,11735,2.93,0.14,0
8/11/2020,0.9,28.80,77.25,1001.07,10.80,255.88,246.38,56.85,13815,12535,3.03,0.04,0
8/12/2020,10.3,27.14,86.71,1002.15,12.15,254.13,78.25,57.05,19933,18104,3.07,0,0
8/13/2020,16.6,25.82,90.25,1000.68,15.26,263.75,73.38,57.05,20173,29464,3.07,0,0
8/14/2020,17.8,25.31,89.79,999.96,12.57,248.88,62.54,57.05,80520,49832,3.07,0,0
8/15/2020,26.9,24.90,92.50,1000.48,12.45,238.38,52.88,57.05,77131,105346,3.07,0,1
8/16/2020,10.5,26.39,85.00,1000.50,13.84,239.96,130.33,57.05,156899,138940,3.07,0,1
8/17/2020,10.7,26.94,86.21,1000.06,11.87,240.29,214.17,57.05,129114,106683,3.07,0,1
8/18/2020,0.2,28.54,76.79,1000.50,12.32,261.46,213.92,57.05,113861,70004,3.07,0,1
8/19/2020,15.1,26.74,86.83,999.87,14.09,267.25,105.79,57.05,68522,48754,3.07,0,1
8/20/2020,14.8,26.20,88.63,999.58,13.25,246.08,93.29,57.05,37448,37339,3.07,0,1
8/21/2020,2.1,27.36,85.75,1002.23,12.08,222.83,157.46,57.05,127576,114096,3.07,0,1
8/22/2020,3.4,28.04,83.96,1003.61,10.17,205.50,186.71,56.53,218325,313946,2.95,0.12,1
8/23/2020,16.2,27.72,88.79,1003.42,8.63,198.21,161.42,56.4,223998,223998,2.95,0.15,0
8/24/2020,1.8,28.28,83.21,1003.62,9.38,221.42,170.54,57.05,226044,91750,3.07,0,0
8/25/2020,0.7,28.63,81.63,1004.42,7.38,252.25,187.29,57.05,33536,36265,3.07,0,0
8/26/2020,2.6,27.89,84.00,1004.05,7.35,262.33,129.88,57.05,56681,51323,3.07,0,1
8/27/2020,1.7,27.78,85.58,1003.00,7.20,263.08,142.92,57.05,212391,151394,3.07,0,1
8/28/2020,0.4,28.50,79.79,1001.88,9.29,226.54,231.58,57.05,268008,117967,3.07,0,1
8/29/2020,0.4,28.84,78.42,1002.48,7.37,232.21,253.71,57.05,66179,68617,3.07,0,1
8/30/2020,0.4,29.28,79.42,1003.11,5.68,201.71,251.63,57.05,35315,31167,3.07,0,1
8/31/2020,1.5,29.89,74.92,1003.60,7.50,275.71,263.25,57.05,27739,31705,3.07,0,1
9/1/2020,3.2,29.76,78.79,1003.29,6.24,247.04,212.92,57.05,17692,16892,3.07,0,1
9/2/2020,11.7,28.25,85.92,1003.39,5.59,85.75,156.00,56.89,12379,14218,3.03,0.04,0
9/3/2020,6.9,27.83,85.42,1004.41,5.75,106.29,214.33,57.05,14360,14706,3.07,0,0
9/4/2020,1.7,28.38,83.13,1004.35,7.84,109.54,229.46,57.05,16192,15950,3.07,0,0
9/5/2020,0.8,28.76,82.83,1003.44,5.34,120.46,232.04,57.05,18963,16882,3.07,0,0
9/6/2020,1.1,28.69,84.79,1002.91,5.53,163.58,232.46,57.05,22937,16955,3.07,0,0
9/7/2020,4.7,28.70,83.75,1003.39,6.02,156.71,221.29,57.05,16320,18123,3.07,0,0
9/8/2020,0.7,29.08,81.96,1003.59,5.59,175.04,235.46,57.05,15502,18405,3.07,0,0
